Host,Port,Segment,RTT,TP,PK,Link_tc,Link_pcap,Algorithm,Arrival,Delivery,Stall,Bitrate,P1203
1,34704,1,0.294,3887603.30578512,2,s1_eth1,s1_eth100,conventional,304,8,0,56,1.871
1,34736,2,0.181,13616.3520467941,36,s1_eth1,s1_eth100,conventional,9046,329,0,83,1.871
1,34848,3,14.67,20328.6118343739,45,s1_eth1,s1_eth100,conventional,17952,468,4906,124,1.491
1,34922,4,19.106,24243.9407140936,42,s1_eth1,s1_eth100,conventional,24492,432,4539,158,1.393
1,34990,5,6.555,25382.2711029243,28,s1_eth1,s1_eth100,conventional,29207,270,2715,144,1.377
1,35044,6,11.021,26741.3389816238,23,s1_eth1,s1_eth100,conventional,33892,249,2684,157,1.348
1,35076,7,0.323,28214.6019403541,20,s1_eth1,s1_eth100,conventional,37571,212,1678,171,1.339
1,35112,8,11.042,30859.4303457717,17,s1_eth1,s1_eth100,conventional,41262,184,1691,164,1.335
1,35144,9,34.511,41636.0335089597,27,s1_eth1,s1_eth100,conventional,44489,225,1227,231,1.332
1,35172,10,18.051,81406.5746486362,17,s1_eth1,s1_eth100,conventional,46669,185,179,426,1.333
1,35198,11,18.383,61533.6630575235,20,s1_eth1,s1_eth100,conventional,48954,220,285,364,1.331
1,35216,12,16.324,103599.591468339,19,s1_eth1,s1_eth100,conventional,50861,208,0,542,1.341
1,35246,13,24.281,60230.5429768505,17,s1_eth1,s1_eth100,conventional,53467,181,512,294,1.333
1,35274,14,16.646,190219.405751181,14,s1_eth1,s1_eth100,conventional,56195,126,727,177,1.325
1,35300,15,16.855,146383.710337572,13,s1_eth1,s1_eth100,conventional,58352,136,157,590,1.318
1,35328,16,23.645,50436.7268662007,21,s1_eth1,s1_eth100,conventional,61304,221,952,253,1.307
1,35354,17,19.35,111552.01267648,26,s1_eth1,s1_eth100,conventional,64752,264,1447,266,1.297
1,35372,18,0.096,79643.7517870021,29,s1_eth1,s1_eth100,conventional,67463,276,710,424,1.29
1,35404,19,13.246,56251.2960471795,27,s1_eth1,s1_eth100,conventional,70702,295,1239,336,1.282
1,35432,20,1.075,66043.2490044797,26,s1_eth1,s1_eth100,conventional,73746,276,1044,417,1.276
1,35464,21,15.748,56017.6492171929,27,s1_eth1,s1_eth100,conventional,76742,290,995,331,1.27
1,35498,22,33.042,49653.460140522,45,s1_eth1,s1_eth100,conventional,81260,459,2518,308,1.262
1,35530,23,14.13,87379.3574341656,36,s1_eth1,s1_eth100,conventional,85374,391,2114,310,1.256
1,35570,24,24.989,111517.772006619,32,s1_eth1,s1_eth100,conventional,88182,357,807,596,1.253
1,35588,25,13.894,71982.9302858077,46,s1_eth1,s1_eth100,conventional,92318,483,2136,441,1.248
1,35628,26,16.267,60536.5871579309,45,s1_eth1,s1_eth100,conventional,96768,463,2449,385,1.244
1,35664,27,19.197,64604.3382622446,44,s1_eth1,s1_eth100,conventional,101085,478,2317,422,1.24
1,35706,28,25.307,59400.949526138,42,s1_eth1,s1_eth100,conventional,105439,473,2353,416,1.237
1,35740,29,0.208,117950.418137542,36,s1_eth1,s1_eth100,conventional,108550,398,1111,691,1.235
1,35772,30,19.439,195811.603650587,34,s1_eth1,s1_eth100,conventional,110733,373,183,1091,1.233
1,35804,31,32.245,121279.561770359,36,s1_eth1,s1_eth100,conventional,114098,394,1364,606,1.238
1,35834,32,28.357,104279.498690392,45,s1_eth1,s1_eth100,conventional,117979,499,1881,602,1.235
1,35860,33,0.235,199983.101520863,55,s1_eth1,s1_eth100,conventional,121335,614,1356,1156,1.234
1,35892,34,16.046,191853.641492135,24,s1_eth1,s1_eth100,conventional,123854,256,518,1026,1.232
1,35924,35,21.391,180160.75279357,60,s1_eth1,s1_eth100,conventional,127041,679,1186,1084,1.231
1,35954,36,33.016,93566.5432142137,36,s1_eth1,s1_eth100,conventional,130638,403,1597,573,1.243
1,35980,37,1.004,134494.978242109,43,s1_eth1,s1_eth100,conventional,134392,467,1753,765,1.242
1,36012,38,0.366,139449.289782823,40,s1_eth1,s1_eth100,conventional,137878,438,1486,779,1.241
1,36044,39,0.93,249686.155042511,44,s1_eth1,s1_eth100,conventional,140878,482,999,1191,1.247
1,36076,40,22.278,233946.730419557,40,s1_eth1,s1_eth100,conventional,143636,443,758,1305,1.246
1,36102,41,0.228,275623.366532457,49,s1_eth1,s1_eth100,conventional,146963,502,1326,1302,1.251
1,36132,42,27.81,184230.528446678,43,s1_eth1,s1_eth100,conventional,149932,482,968,1063,1.251
1,36164,43,13.926,81398.2681168798,49,s1_eth1,s1_eth100,conventional,154386,545,2453,536,1.254
1,36206,44,24.115,94906.9775267875,55,s1_eth1,s1_eth100,conventional,158814,608,2428,620,1.25
1,36244,45,21.338,76389.1590481748,34,s1_eth1,s1_eth100,conventional,162785,376,1970,465,1.25
1,36268,46,25.816,72418.4918076373,35,s1_eth1,s1_eth100,conventional,166379,391,1594,496,1.249
1,36300,47,29.262,63660.3134450782,30,s1_eth1,s1_eth100,conventional,170718,324,2338,415,1.249
1,36324,48,17.887,179014.475497194,29,s1_eth1,s1_eth100,conventional,173260,316,542,992,1.248
1,36348,49,15.478,232037.609596866,36,s1_eth1,s1_eth100,conventional,176309,375,1048,1121,1.251
1,36376,50,22.092,179744.874769753,43,s1_eth1,s1_eth100,conventional,179242,479,933,1065,1.247
1,36396,51,7.011,227187.853587573,30,s1_eth1,s1_eth100,conventional,182018,325,775,1173,1.25
1,36424,52,29.501,139593.485898589,26,s1_eth1,s1_eth100,conventional,185150,284,1131,850,1.25
1,36440,53,27.472,130559.288236431,96,s1_eth1,s1_eth100,conventional,189235,1087,2085,928,1.247
1,36468,54,31.062,111133.885009869,107,s1_eth1,s1_eth100,conventional,194533,1224,3298,823,1.246
1,36498,55,0.951,107518.042427241,138,s1_eth1,s1_eth100,conventional,201157,1539,4624,772,1.246
1,36524,56,14.238,263438.712890827,157,s1_eth1,s1_eth100,conventional,204225,1770,1067,1813,1.246
1,36544,57,11.824,204120.425840912,135,s1_eth1,s1_eth100,conventional,207968,1508,1742,1415,1.246
1,36560,58,0.687,135276.825895202,124,s1_eth1,s1_eth100,conventional,212765,1384,2796,971,1.246
1,36578,59,0.397,170961.779763393,102,s1_eth1,s1_eth100,conventional,215833,1169,1068,1222,1.246
1,36592,60,0.354,191113.283536657,47,s1_eth1,s1_eth100,conventional,218327,521,493,1114,1.245
2,36690,1,0.173,3038759.68992248,2,s1_eth1,s1_eth100,conventional,261,8,0,65,1.871
2,36726,2,0.27,13488.1233504057,38,s1_eth1,s1_eth100,conventional,9091,329,0,84,1.871
2,36824,3,19.854,20244.2496050383,54,s1_eth1,s1_eth100,conventional,17584,468,4493,132,1.508
2,36892,4,0.202,33029.1763801657,42,s1_eth1,s1_eth100,conventional,22520,432,2936,212,1.437
2,36954,5,10.869,62491.0322397878,25,s1_eth1,s1_eth100,conventional,25469,270,948,303,1.442
